name,industry,fossil_t_co2
Vimmerby Energi & Miljö,Heat and power,74
Mark Kraftvärme,Heat and power,69
Västerbergslagens Energi,Heat and power,59
Jämtkraft,Heat and power,57
Ljusdal Energi,Heat and power,56
Stenungsund Energi & Miljö,Heat and power,50
Värnamo Energi,Heat and power,43
Hjo Energi,Heat and power,36
Bomhus Energi,Heat and power,33
Oskarshamn Energi,Heat and power,25
Ulricehamn Energi,Heat and power,16
Microsoft,Other,14
Norrtälje Energi,Heat and power,14
Falkenberg Energi,Heat and power,5
Tierps Fjärrvärme,Heat and power,5
Partille Energi,Heat and power,4
Varaslättens lagerhus,Heat and power,4
Kraton Chemical,Chemicals,3
Skara Energi,Heat and power,3
Vara Energi Värme,Heat and power,2
Mölndal Energi,Heat and power,1
Karl Hedins sågverk,Other,1
Siljan Timber,Heat and power,1
Sylvamo,Pulp and paper,0
Växjö Energi,Heat and power,0
Gävle Energi,Heat and power,0
Lantmännen,Other,0
Ystad Energi,Heat and power,0
Munkfors Energi,Heat and power,0
Fortum,Other,0
Oatly,Food,0
KLS Ugglarps,Food,0
Ragn-Sells,Other,0
Envigas,Other,0
AR Packaging Flexibles,Other,0
Björkdalsgruvan,Other,0
Johnson Matthey Formox,Chemicals,0
Bim Kemi,Pulp and paper,0
Affärsverken Karlskrona,Heat and power,0
Alingsås Energi Nät,Heat and power,0
Biond Heat Production,Heat and power,0
Degerfors Energi,Heat and power,0
Falbygdens Energi,Heat and power,0
Farmarenergi i Åtvidaberg,Heat and power,0
Gislaved Energi,Heat and power,0
Gotlands Energi,Heat and power,0
Hammarö Energi,Heat and power,0
Klubbgärdet Fastighets,Heat and power,0
Kraftringen Energi,Heat and power,0
Kungälv Energi,Heat and power,0
Mariestads kommun,Heat and power,0
Sala-Heby Energi,Heat and power,0
Sandåsa Timber,Other,0
Statkraft,Heat and power,0
Swedavia Energi,Heat and power,0
Telge Nät,Heat and power,0
Varberg Energi,Heat and power,0
Västvatten,Heat and power,0
Univar Solutions,Chemicals,0
