funding_org,projectnr,titel,name,engagement,pathway,scope
EM,2022-00058,Från fossilfri järnsvamp till färdig produkt,SSAB,565000,Electricity and hydrogen,Scope 3
EM,2022-00112,GENOMFÖRBARHETSSTUDIE SLITE CCS - PÅ VÄG MOT VÄRLDENS FÖRSTA KLIMATNEUTRALA CEMENTFABRIK,Heidelberg Materials,51682850,CCS,Scope 1
EM,2022-00152,Plastreturraffinaderi i Stenungsund,Borealis,58281125,Recycling,Scope 1
EM,2022-00196,Utveckling av vätgasförstärkt värmningsteknik för roterugn – elektrifiering av svensk järnmalmsförädling,LKAB,0,Electricity and hydrogen,Scope 2
EM,2022-00205,Syrgas och vätgas i schaktugnar (O2H2),SMA Mineral,0,Electricity and hydrogen,Others
EM,2022-00209,Metodik för säkerhetsanalys av underjordiska bergrum för storskalig vätgaslagring,Vattenfall,0,Electricity and hydrogen,Others
EM,2022-00211,Ett passivt DAC-system med alkaliska biprodukter för negativa emissioner,Boliden,0,DAC,Others
EM,2022-00211,Ett passivt DAC-system med alkaliska biprodukter för negativa emissioner,Höganäs,0,DAC,Others
EM,2022-00212,Storskalig produktion av biokol som förnybar råvara i den fossilfria värdekedjan inom järn- och stålindustrin,E.ON,365000,Biofuels and biomass,Others
EM,2022-00212,Storskalig produktion av biokol som förnybar råvara i den fossilfria värdekedjan inom järn- och stålindustrin,Höganäs,120000,Biofuels and biomass,Scope 1
EM,2022-00212,Storskalig produktion av biokol som förnybar råvara i den fossilfria värdekedjan inom järn- och stålindustrin,SSAB,135000,Biofuels and biomass,Scope 1
EM,2022-00512,Carbon Network South Sweden (CNetSS),E.ON,70000,CCS,Infrastructure
EM,2022-00512,Carbon Network South Sweden (CNetSS),Sysav,143500,CCS,Infrastructure
EM,2022-00512,Carbon Network South Sweden (CNetSS),Höganäs,51500,CCS,Infrastructure
EM,2022-00876,Digitala tvillingar för en grön vätgasomställning inom stålindustrin (TWINGHY),SSAB,0,Electricity and hydrogen,Scope 3
EM,2022-01002,bioCCS vid ny kraftvärmeanläggning i Malmö Energihamn,E.ON,835000,BECSS,Scope 1
EM,2022-01023,Genomförbarhetsstudie för avfall-CCS på Sysav,Sysav,5235000,WtE-CSS,Scope 1
EM,2022-01111,SkyFuelH2: FEED-studie,Uniper,0,Electricity and hydrogen,Scope 3
EM,2022-01111,SkyFuelH2: FEED-studie,Uniper,49327821,Electricity and hydrogen,Scope 3
EM,2022-01115,Koldioxidavskiljning med Svante-tekniken,Stockholm Exergi,751000,BECSS,Scope 1
EM,2022-01123,Användning av gruvavfall för att bilda karbonatmineraler via en symbiotisk CC- och DAC-biostrategi,LKAB,0,CCS,Others
EM,2022-01123,Användning av gruvavfall för att bilda karbonatmineraler via en symbiotisk CC- och DAC-biostrategi,Boliden,0,DAC,Others
EM,2022-01138,eLIMEnate Carbon Capture pilot Köping,Nordkalk,18046443,CCS,Scope 1
EM,2023-00564,Norvik Infrastructure CCS East-Sweden (NICE),Heidelberg Materials,0,CCS,Infrastructure
EM,2023-00564,Norvik Infrastructure CCS East-Sweden (NICE),Nordkalk,0,CCS,Infrastructure
EM,2023-00564,Norvik Infrastructure CCS East-Sweden (NICE),Vattenfall,0,CCS,Infrastructure
EM,2023-00628,Genomförbarhetsstudie för CCS vid Gärstadverket,Tekniska verken i Linköping,2764000,WtE-CSS,Scope 1
EM,2023-00636,Produktionsdemonstrator för storskalig polyesteråtervinningsanläggning,Vargön Alloys,78749,Recycling,Others
EM,2023-00761,Valorisering av våta biomassarester för hållbar stålproduktion med effektiv återvinning av näringsämnen,SSAB,0,Recycling,Scope 3
EM,2023-00891,Simuleringsmodeller för nettonollutsläpp från Järnmalmspellets framställnings processen,LKAB,0,Electricity and hydrogen,Scope 1
EM,2023-00918,Utveckling av kemcyklisk förbränning för inhemska bränslen,Stockholm Exergi,177959,BECSS,Scope 1
EM,2023-00920,En mobil forskningsanläggning för avskiljning av koldioxid i rökgaser från värmekraftverk,Tekniska verken i Linköping,0,CCS,Scope 1
